#       Npoints             RC            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
          30974        4.20627       17.03644       16.94893       17.12395        0.08751
          30577        4.24627       16.82903       16.74086       16.91720        0.08817
          30016        4.28627       16.63258       16.54536       16.71980        0.08722
          30064        4.32627       16.43744       16.35179       16.52309        0.08565
          30454        4.36627       16.25247       16.16620       16.33874        0.08627
          30603        4.40627       16.08271       15.99537       16.17004        0.08734
          31669        4.44627       15.89771       15.81112       15.98429        0.08659
          30785        4.48627       15.75584       15.66934       15.84234        0.08650
          29349        4.52627       15.62488       15.53885       15.71092        0.08603
          29093        4.56627       15.46948       15.38537       15.55360        0.08411
          29415        4.60627       15.31077       15.22633       15.39522        0.08444
          29269        4.64627       15.17486       15.09129       15.25843        0.08357
          30288        4.68627       15.02262       14.93844       15.10680        0.08418
          30007        4.72627       14.89751       14.81253       14.98249        0.08498
          30055        4.76627       14.76375       14.67855       14.84895        0.08520
          30491        4.80627       14.62101       14.53548       14.70654        0.08553
          30200        4.84627       14.49818       14.41358       14.58278        0.08460
          31286        4.88627       14.35882       14.27319       14.44445        0.08563
          30992        4.92627       14.25219       14.16533       14.33905        0.08686
          31216        4.96627       14.13206       14.04651       14.21760        0.08554
          31151        5.00627       14.01670       13.93026       14.10314        0.08644
          31264        5.04627       13.90359       13.81548       13.99171        0.08812
          31885        5.08627       13.78920       13.70163       13.87676        0.08757
          31163        5.12627       13.71441       13.62688       13.80193        0.08752
          31089        5.16627       13.64797       13.56248       13.73346        0.08549
          30264        5.20627       13.60490       13.51815       13.69165        0.08675
          28270        5.24627       13.58831       13.50214       13.67447        0.08616
          25001        5.28627       13.60382       13.51730       13.69034        0.08652
          24033        5.32627       13.55882       13.47233       13.64531        0.08649
          22301        5.36627       13.50323       13.41783       13.58864        0.08540
          17770        5.40627       13.46816       13.38227       13.55405        0.08589
          11851        5.44627       13.44689       13.35802       13.53575        0.08886
           6618        5.48627       13.42242       13.33132       13.51353        0.09110
           3061        5.52627       13.39246       13.29510       13.48982        0.09736
           1275        5.56627       13.30295       13.18997       13.41593        0.11298
