        0.00000       92.96200
        0.15847       74.28979
        0.30491       93.02332
        0.44573       92.11390
        0.58866       97.58250
        0.73167       90.90783
        0.87987       91.15277
        1.02983       83.31880
        1.18560       87.76090
        1.33715       82.73803
        1.50395       83.09481
        1.67365       82.80045
        1.80834      104.64717
        1.91761      145.97570
        1.99306      193.69542
        2.06604      193.01981
        2.12888      143.34270
        2.20763       95.75022
        2.36948       80.24612
        2.54299       91.39446
        2.70910       85.03471
        2.86386       95.36609
        3.01452      103.07274
        3.16457      108.60325
        3.30327       97.30432
        3.44526       92.20085
        3.58986      102.70314
        3.73361      105.05429
        3.87158       98.11483
        4.01383      106.69295
        4.16084      102.97242
        4.30601      117.10943
        4.44830      107.96799
        4.58841      103.12897
        4.71977      104.59253
        4.86149      106.15693
        5.00256       84.27104
        5.14900      101.94935
        5.31023       78.46857
        5.43724      130.95053
