#       Npoints             RC            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
           9163        4.06952       -0.48187       -0.54739       -0.41636        0.06552
           8743        4.10952       -0.55300       -0.61887       -0.48714        0.06586
           8871        4.14952       -0.63827       -0.70447       -0.57207        0.06620
           8712        4.18952       -0.69941       -0.76577       -0.63304        0.06637
           9058        4.22952       -0.79167       -0.85891       -0.72444        0.06724
           8894        4.26952       -0.83396       -0.90295       -0.76497        0.06899
           9216        4.30952       -0.90604       -0.97493       -0.83714        0.06889
           8924        4.34952       -0.97115       -1.04139       -0.90090        0.07025
           8603        4.38952       -1.05040       -1.11959       -0.98122        0.06919
           8952        4.42952       -1.15746       -1.22894       -1.08599        0.07148
           9394        4.46952       -1.25460       -1.32860       -1.18059        0.07401
           9104        4.50952       -1.30952       -1.38192       -1.23712        0.07240
           9323        4.54952       -1.39538       -1.46621       -1.32455        0.07083
           9935        4.58952       -1.48971       -1.56418       -1.41524        0.07447
           9794        4.62952       -1.53300       -1.60861       -1.45740        0.07560
           9772        4.66952       -1.58782       -1.66446       -1.51118        0.07664
           9272        4.70952       -1.61730       -1.69553       -1.53908        0.07822
           9114        4.74952       -1.67810       -1.75886       -1.59735        0.08075
           9352        4.78952       -1.76513       -1.84535       -1.68492        0.08022
           9464        4.82952       -1.82640       -1.90740       -1.74539        0.08100
           9267        4.86952       -1.86442       -1.94704       -1.78180        0.08262
           9165        4.90952       -1.93007       -2.01175       -1.84839        0.08168
           8576        4.94952       -1.98322       -2.06503       -1.90141        0.08181
           8191        4.98952       -2.04145       -2.12280       -1.96010        0.08135
           8031        5.02952       -2.09489       -2.17715       -2.01263        0.08226
           8324        5.06952       -2.16505       -2.24715       -2.08295        0.08210
           8958        5.10952       -2.24663       -2.32814       -2.16511        0.08152
           9429        5.14952       -2.32242       -2.40466       -2.24019        0.08223
           9940        5.18952       -2.42244       -2.50666       -2.33823        0.08421
          10036        5.22952       -2.50498       -2.59324       -2.41671        0.08826
           9792        5.26952       -2.52655       -2.61854       -2.43455        0.09200
           9830        5.30952       -2.48464       -2.57382       -2.39546        0.08918
          10433        5.34952       -2.40172       -2.48903       -2.31441        0.08731
          10860        5.38952       -2.30150       -2.38714       -2.21586        0.08564
           9245        5.42952       -2.16477       -2.25153       -2.07802        0.08675
           6036        5.46952       -2.02315       -2.11001       -1.93628        0.08687
           2595        5.50952       -1.81811       -1.91183       -1.72439        0.09372
            839        5.54952       -1.63686       -1.74303       -1.53068        0.10617
            171        5.58952       -1.36701       -1.53360       -1.20042        0.16659
