        0.00000       75.83685
        0.15572       70.14222
        0.32275       64.25511
        0.48500       68.30068
        0.64655       72.44500
        0.80929       73.54224
        0.97215       65.63337
        1.13603       77.86270
        1.29517       75.91002
        1.45575       79.04265
        1.61188       86.46021
        1.77623       89.20570
        1.93846       87.54148
        2.10632       89.05522
        2.27107       84.22909
        2.44138       77.55914
        2.61115       86.96939
        2.77977       84.16970
        2.94837       85.38378
        3.10966       89.87103
        3.27835       94.61483
        3.44934       96.38592
        3.62383      103.20588
        3.78613      116.74634
        3.92022      117.63120
        4.04137       87.79977
        4.19141       59.73923
        4.35093       62.09846
        4.51272       73.79384
        4.67656       58.51970
        4.83966       60.67376
        5.00578       64.89420
        5.16928       73.49095
        5.33835       67.67540
        5.51117       55.74402
        5.67698       66.37946
        5.84182       64.82232
        6.00684       58.12611
        6.17360       71.41636
        6.32765       72.42866
