             RC        PMF_xtb_orig     Correction      CorrPMF_def2TZVP
        5.33293       11.03578            2.4157877      13.451568
        5.37293       11.00838             2.296279      13.304659
        5.41293       11.00284            2.1890507      13.191891
        5.45293       11.01574              2.09327       13.10901
        5.49293       11.05498             2.008104      13.063084
        5.53293       11.05499            1.9327199       12.98771
        5.57293       11.03566            1.8662849      12.901945
        5.61293       11.05201            1.8079661      12.859976
        5.65293       11.05787            1.7569306      12.814801
        5.69293       11.10064            1.7123457      12.812986
        5.73293       11.12691            1.6733786      12.800289
        5.77293       11.13597            1.6391962      12.775166
        5.81293       11.15663            1.6089659      12.765596
        5.85293       11.17489            1.5818548      12.756745
        5.89293       11.19971            1.5570301       12.75674
        5.93293       11.20022            1.5336588      12.733879
        5.97293        11.1824            1.5109082      12.693308
        6.01293        11.2151            1.4879455      12.703045
        6.05293       11.23823            1.4639378      12.702168
        6.09293       11.27783            1.4380522      12.715882
        6.13293       11.31777            1.4094559      12.727226
        6.17293       11.34428            1.3773161      12.721596
        6.21293       11.39755               1.3408       12.73835
        6.25293       11.43297            1.2990746      12.732045
        6.29293         11.478            1.2513072      12.729307
        6.33293        11.5146             1.196665      12.711265
        6.37293       11.56499             1.134315      12.699305
        6.41293       11.67081            1.0634245      12.734234
        6.45293       11.74271            0.9831606      12.725871
        6.49293       11.86221           0.89269047        12.7549
        6.53293       11.92513           0.79118127      12.716311
        6.57293       11.94717           0.67780017       12.62497
        6.61293       12.15962           0.55171433      12.711334
